,18-24,25-34,35-44,45-54,55-64,65-74
4'8'',0.1,0.1,0.1,0.3,0.5,1
4'9'',0.3,0.2,0.2,0.1,0.6,1.3
4'10'',0.5,0.4,0.7,0.8,1.9,1.9
4'11'',1.3,1.1,0.9,3,3.4,5.1
5',2,2,2.7,4.7,5,7.9
5'1'',4.9,4.9,3.2,7.3,8.3,11.8
5'2'',8.7,10.5,10.4,11.5,12,15.3
5'3'',11.3,13.9,14.9,12.1,14.2,14.9
5'4'',12.7,14.4,16.8,17.4,18,17.2
5'5'',16.3,14,14,13.3,13.5,10.6
5'6'',16.7,13.5,14.2,14.1,11.5,7.6
5'7'',10.6,10.8,9.9,6.6,5.7,3.3
5'8'',6.9,7.6,5.4,5.1,3.1,1.3
5'9'',3.9,3.9,3.8,1.9,1.7,0.6
5'10'',2.1,2.3,2,1.4,0.4,0.1
5'11'',1.1,0.2,0.2,0.2,0.1,0.1
6',0.1,0.1,0.1,0.1,0.1,0.1
6'1'',0.1,0.1,0.1,0.1,0.1,0.1
6'2'',0.1,0.1,0.1,0.1,0.1,0.1
6'3'',0.1,0.1,0.1,0.1,0.1,0.1
6'4'',0.1,0.1,0.1,0.1,0.1,0.1
