,18-24,25-34,35-44,45-54,55-64,65-74
4'8'',0.1,0.1,0.1,0.1,0.1,0.1
4'9'',0.1,0.1,0.1,0.1,0.1,0.1
4'10'',0.1,0.1,0.1,0.1,0.1,0.1
4'11'',0.1,0.1,0.1,0.1,0.1,0.1
5',0.2,0.1,0.3,0.1,0.3,0.2
5'1'',0.1,0.2,0.1,0.2,0.4,1
5'2'',0.1,0.1,0.6,0.5,0.2,1.5
5'3'',0.3,0.1,1.2,0.8,1.9,3.3
5'4'',1.8,1.1,1.6,1.1,2.5,4.5
5'5'',1.5,2.8,2.7,3.1,4,7.8
5'6'',4.3,5.1,6,5.7,8.2,11.1
5'7'',8,5.8,5.2,9.8,11.6,12.2
5'8'',10.5,11.4,8.8,12.4,14.4,16.2
5'9'',12.2,13,16.1,16.8,14.7,12.2
5'10'',14.8,15.7,14.5,13,13.3,12
5'11'',14.6,14.3,13.7,13.5,11.6,7.6
6',11.8,11.9,10.5,8.9,7.9,4.9
6'1'',8.4,8.4,8.8,7.6,5.3,3.3
6'2'',4.2,5.6,5.1,4.6,1.4,1.4
6'3'',3.5,2.4,2.7,1.4,1.2,0.7
6'4'',2.2,1.2,1.4,0.3,0.9,0.1
